title_id,title_name,image,category,first_played_date_time,last_played_date_time,play_count,play_duration
CUSA02992_00,HITMAN™,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA02369_00/3/i_2c97ed4eeabb3e426f3fafa12dc38b9fa9e335baacec73ab394139b9e79bf5ef/i/icon0.png,PlatformCategory.PS4,2016-03-06 16:32:36+00:00,2016-03-08 16:13:59+00:00,5,0 days 00:21:50
CUSA04051_00,UNCHARTED: Legacy of Thieves Collection,https://image.api.playstation.com/vulcan/ap/rnd/202111/2000/gTUWTlvPHzxFJ2JAxtDyI2eS.png,PlatformCategory.PS4,2016-03-04 12:31:48+00:00,2016-03-07 15:57:25+00:00,14,0 days 04:28:35
CUSA02343_00,Uncharted™: The Nathan Drake Collection,https://image.api.playstation.com/vulcan/img/rnd/202011/1101/zC3kulm2Ho3ZE38ZUYHW7WMK.png,PlatformCategory.PS4,2016-01-08 17:40:44+00:00,2016-02-25 16:14:20+00:00,34,1 days 03:38:02
CUSA03058_00,Tom Clancy's The Division™,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA01262_00/3/i_e6d232ba4d068e89ed9de881fa1fa3939d7e3d00a77bcd43ad652f4bd3f1029d/i/icon0.png,PlatformCategory.PS4,2016-01-27 11:42:28+00:00,2016-02-21 11:34:09+00:00,14,0 days 06:34:03
CUSA03655_00,World of Tanks,https://image.api.playstation.com/vulcan/ap/rnd/202312/0619/9b381904bd0dcb2c7a5b93e7a1c60155a0c25b6714af1e0b.png,PlatformCategory.PS4,2015-12-04 16:10:03+00:00,2015-12-04 16:10:03+00:00,1,0 days 00:06:08
CUSA04023_00,Tom Clancy's Rainbow Six® Siege,https://image.api.playstation.com/vulcan/ap/rnd/202209/0617/eiXonwxcJH00bkGo3G6lUm9t.png,PlatformCategory.PS4,2015-11-25 14:47:29+00:00,2015-11-30 18:07:09+00:00,21,0 days 07:48:04
CUSA01866_00,Need for Speed™,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA01866_00/5/i_8da3e78c79bdea01cf3a5f1f19080934f035222d562066ecc7d375eed333c096/i/icon0_01.png,PlatformCategory.PS4,2015-11-05 15:40:56+00:00,2015-11-27 12:22:05+00:00,28,0 days 18:12:40
CUSA00265_00,Minecraft,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA00265_00/8/i_1c2d1812f27ec71285072e191d1822134e4f9730141c88537d87837014a17295/i/icon0.png,PlatformCategory.PS4,2015-02-26 17:54:44+00:00,2015-11-21 15:18:49+00:00,116,5 days 00:26:30
CUSA00025_00,Call of Duty® Ghosts,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA00025_00/3/i_fa4feb9c4edb2b19057a020c6c103b1aade00efbf7ed60d39a21c541f368ccfa/i/icon0.png,PlatformCategory.PS4,2014-12-26 11:57:05+00:00,2015-11-04 17:04:37+00:00,203,7 days 06:03:36
CUSA00605_00,Assassin's Creed® Unity,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA00605_00/3/i_c15f584921b0e2d55abaac59bca53946438f110541caa61c17439850c3fd7269/i/icon0.png,PlatformCategory.PS4,2014-12-26 16:39:32+00:00,2015-10-23 16:15:28+00:00,104,3 days 06:04:20
CUSA00851_00,Call of Duty®: Advanced Warfare,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA00851_00/5/i_f3cd09be39e293d6a642c78a6e8d9e99bc066d23a11ef3a03b8a52964a88e172/i/icon0.png,PlatformCategory.PS4,2014-11-05 10:46:36+00:00,2015-10-18 12:19:42+00:00,385,10 days 14:02:57
CUSA02940_00,STAR WARS™ Battlefront™,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA00634_00/3/i_bd22c9c5ff495c10c426c43b96fdbaf5766a8c7cf9cb11996283ced3402d9292/i/icon0_01.png,PlatformCategory.PS4,2015-10-08 16:10:12+00:00,2015-10-13 15:59:31+00:00,28,0 days 22:12:46
CUSA03331_00,Uncharted™: The Nathan Drake Collection,https://image.api.playstation.com/vulcan/img/rnd/202011/1101/zC3kulm2Ho3ZE38ZUYHW7WMK.png,PlatformCategory.PS4,2015-10-04 09:19:49+00:00,2015-10-04 14:18:09+00:00,6,0 days 01:52:36
CUSA02288_00,FIFA 16,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA02126_00/4/i_eaaff46a4916aa5c7ad26991c535ad5cf668ab1c56f4e1daa658e5499dcb8383/i/icon0.png,PlatformCategory.PS4,2015-09-08 16:21:45+00:00,2015-09-26 12:07:55+00:00,12,0 days 05:56:26
CUSA02900_00,Grow Home,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA02900_00/2/i_ab5e9e86ac099659f7ad473eba36b691df0385060fcdc1ad0f92feedb15f966e/i/icon0.png,PlatformCategory.PS4,2015-09-01 17:34:18+00:00,2015-09-18 16:41:39+00:00,12,0 days 02:52:18
CUSA00002_00,KILLZONE™ SHADOW FALL,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA00008_00/1/i_588635f5f887424279103941788dd66f73c996dc4648f598bac67c81afe62837/i/icon0.png,PlatformCategory.PS4,2014-03-11 08:04:47+00:00,2015-09-09 16:13:08+00:00,29,0 days 09:55:22
CUSA00722_00,FIFA 15,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA00722_00/6/i_80d620da22600829442291c8ec0e2521ff622d5a78c6ea3405c9708b96a0a97e/i/icon0.png,PlatformCategory.PS4,2014-09-26 13:47:31+00:00,2015-07-23 17:34:32+00:00,275,8 days 10:01:38
CUSA02055_00,PlanetSide 2,https://image.api.playstation.com/vulcan/ap/rnd/202108/2100/SbNSqD5awDBMMyqNzg90E12h.png,PlatformCategory.PS4,2015-07-04 08:36:43+00:00,2015-07-23 16:02:16+00:00,4,0 days 00:26:26
CUSA00168_00,Need for Speed™ Rivals,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA00168_00/5/i_2637b7a92d8b09615c9b919a27546c7a1b52102ceaee6a0354fc6f5f671b4aec/i/icon0_01.png,PlatformCategory.PS4,2014-02-15 09:47:44+00:00,2015-07-23 11:16:32+00:00,35,0 days 14:10:06
